kcet,college
99.9410073,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai"
99.9402271,"College of Engineering, Pune"
99.83,"Bhartiya Vidya Bhavan's Sardar Patel Institute of Technology , Andheri, Mumbai"
99.6,"Pune Institute of Computer Technology, Dhankavdi, Pune"
99.3,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai"
99.1893457,"Walchand College of Engineering, Sangli"
99.0465325,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune"
98.3092309,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune"
98.2259803,"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune"
98.22,"Thadomal Shahani Engineering College, Bandra, Mumbai"
98.22,"Shri Ramdeobaba College of Engineering and Management, Nagpur"
98.21,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai"
97.8306744,"B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune"
97.526,"Government College of Engineering, Aurangabad"
97.51,"Pune Vidyarthi Griha's College of Engineering and Technology and G K Pate(Wani) Institute of Management, Pune"
97.19,"K J Somaiya Institute of Engineering and Information Technology, Sion, Mumbai"
97.07,"Government College of Engineering, Amravati"
96.78,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai"
96.6689155,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai"
96.52,"International Institute of Information Technology (I²IT), Pune."
96.37,"Vidyalankar Institute of Technology,Wadala, Mumbai"
95.99,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet"
95.93,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded"
95.8778851,"MIT Academy of Engineering,Alandi, Pune"
95.8520088,"All India Shri Shivaji Memorial Society's College of Engineering, Pune"
95.7068311,"Thakur College of Engineering and Technology, Kandivali, Mumbai"
95.46,"Government College of Engineering, Nagpur"
95.0814111,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune"
94.6737571,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai"
94.63,"St. Francis Institute of Technology,Borivali, Mumbai"
94.5269017,"Government College of Engineering & Research, Avasari Khurd"
94.5199766,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune"
94.495,"Xavier Institute Of Engineering C/O Xavier Technical Institute,Mahim,Mumbai"
94.3022949,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai"
94.1399629,"Don Bosco Institute of Technology, Mumbai"
94.08,"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune"
93.9827099,"Progressive Education Society's Modern College of Engineering, Pune"
93.6829988,"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune"
93.4805639,"K. K. Wagh Institute of Engineering Education and Research, Nashik"
93.2360851,"Sinhgad College of Engineering, Vadgaon (BK), Pune"
93.200506,"Vidyavardhini's College of Engineering and Technology, Vasai"
93.0699755,"Government College of Engineering, Jalgaon"
92.88,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur"
92.6789894,"Bharati Vidyapeeth College of Engineering, Navi Mumbai"
92.6,"Atharva College of Engineering,Malad(West),Mumbai"
92.2656961,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli"
91.8588542,"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai"
91.44,"Mahatma Education Society's Pillai College of Engineering, New Panvel"
91.0646541,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai"
90.95,"Terna Engineering College, Nerul, Navi Mumbai"
90.95,"Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune"
90.929,"Dr. D. Y. Patil Vidya Pratishthan Society’s Dr. D. Y. Patil Institute of Technology, Pimpri, Pune"
90.8499529,"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur"
90.63,"Dr. Babasaheb Ambedkar Technological University, Lonere"
90.4199696,"Walchand Institute of Technology, Solapur"
90.409,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon"
90.36,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai"
90.2594711,"Modern Education Society's College of Engineering, Pune"
90.12,"Bharati Vidyapeeth's College of Engineering,Lavale, Pune"
89.9196224,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai"
89.7888364,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai"
89.39,"A. P. Shah Institute of Technology, Thane"
89.32,"Bharati Vidyapeeth's College of Engineering for Women, Katraj, Dhankawadi, Pune"
89.13,"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik"
88.87,"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji."
88.7,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai"
88.402,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur"
87.713,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner"
87.58,"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai"
87.45,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai"
87.04,"G.H.Raisoni College of Engineering & Management, Wagholi, Pune"
86.75,"Smt. Indira Gandhi College of Engineering, Navi Mumbai"
86.2025102,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Engineering,Vadgaon,Pune"
86.17,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology, Baramati Dist.Pune"
86.16,"G. H.Raisoni Institute of Engineering and Technology, Wagholi, Pune"
85.98,"JSPM'S Jaywantrao Sawant College of Engineering,Pune"
85.827,"JSPM Narhe Technical Campus, Pune."
85.6952206,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai"
85.62,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur"
85.55,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon"
84.63,"Government College of Engineering,Yavatmal"
84.19,"JSPM's Imperial College of Engineering and Research, Wagholi, Pune"
83.8,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)"
83.76,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)"
83.351,"Prof. Ram Meghe Institute of Technology & Research, Amravati"
83.3431778,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai"
83.322,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai"
83.271,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune"
83.16,"New Horizon Institute of Technology & Management, Thane"
82.89,"Annasaheb Dange College of Engineering and Technology, Ashta, Sangli"
82.25,"Deogiri Institute of Engineering and Management Studies, Aurangabad"
82.091,"Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology, Nagpur"
81.3,"D.Y. Patil College of Engineering and Technology, Kolhapur"
81.29,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Engineering &Technology, Talegaon sta"
81.01,"Indira College of Engineering & Management, Pune"
80.45,"Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune"
80.3747784,"Sinhgad Academy of Engineering, Kondhwa (BK) Kondhwa-Saswad Road, Pune"
80.293,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik."
80.24,"Bajaj Institute of Technology, Wardha"
79.83,"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar."
79.48,"Shri Vile Parle Kelavani Mandal's Institute of Technology, Dhule"
79.452,"Hope Foundation and research center's Finolex Academy of Management and Technology, Ratnagiri"
79.4,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur"
78.4854138,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai"
78.32,"Government College of Engineering, Chandrapur"
78.038,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad"
77.65,"Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology, Budhgaon, Sangli"
